timestamp,trial_id,robot_name,scope,fusion_mode,map_name,attack_enabled,attack_region_name,attack_region_type,attack_region_frame_id,attack_region_mask_cell_count,geometry_match,ground_truth_topic,shared_map_topic,confidence_map_topic,frame_id,ground_truth_frame_id,width,height,resolution,origin_x,origin_y,true_occupied_count,false_occupied_count,missed_occupied_count,predicted_occupied_count,predicted_unknown_count,ground_truth_occupied_count,ground_truth_free_count,evaluated_cell_count,occupied_precision,occupied_recall,occupied_f1,occupied_iou,false_occupied_rate,missed_occupied_rate,unknown_rate,confidence_mean,false_occupied_mean_confidence,attack_region_mean_confidence,attack_region_false_occupied_mean_confidence,status
1783454767.6506953,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.66881258941345,64.42931937172774,8.66798418972332,21.0,timeseries
1783454769.526494,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,562,195,1612,757,12429,2174,12226,14400,0.7424042272126816,0.25850965961361544,0.3834868645513477,0.23723089911355003,0.01594961557336823,0.7414903403863845,0.863125,43.30791229742612,41.256410256410255,,,timeseries
1783454769.526494,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.30791229742612,41.256410256410255,12.41501976284585,86.83333333333333,timeseries
1783454769.7645655,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,560,189,1614,749,12774,2174,12226,14400,0.7476635514018691,0.2575896964121435,0.38316797810468695,0.2369868810833686,0.015458858171110748,0.7424103035878565,0.8870833333333333,35.56185935637664,62.38095238095238,,,timeseries
1783454769.7645655,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.56185935637664,62.38095238095238,8.66798418972332,21.0,timeseries
1783454771.5907943,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,563,195,1611,758,12432,2174,12226,14400,0.7427440633245382,0.25896964121435145,0.3840381991814461,0.2376530181511186,0.01594961557336823,0.7410303587856486,0.8633333333333333,43.19627507163324,40.85128205128205,,,timeseries
1783454771.5907943,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.19627507163324,40.85128205128205,12.41501976284585,86.83333333333333,timeseries
1783454771.8264139,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,561,186,1613,747,12779,2174,12226,14400,0.751004016064257,0.2580496780128795,0.3841150290996235,0.23771186440677966,0.015213479469982005,0.7419503219871205,0.8874305555555555,35.52267303102625,63.04838709677419,,,timeseries
1783454771.8264139,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.52267303102625,63.04838709677419,8.66798418972332,21.0,timeseries
1783454773.5873249,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,565,199,1609,764,12421,2174,12226,14400,0.7395287958115183,0.25988960441582337,0.38461538461538464,0.23809523809523808,0.01627678717487322,0.7401103955841767,0.8625694444444445,43.263445978105665,41.64321608040201,,,timeseries
